Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Requiem for a Dream,2000-10-06,The drug-induced utopias of four Coney Island residents are shattered when their addictions run deep.,8.019,9745,en,Crime;Drama,102,,4500000,7390108,Artisan Entertainment;Thousand Words;Protozoa Pictures,United States of America,English,tt0180093
Meet the Parents,2000-10-06,"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze.",6.677,5798,en,Comedy;Romance,108,First comes love. Then comes the interrogation.,55000000,330444045,Universal Pictures;DreamWorks Pictures;Nancy Tenenbaum Films;Tribeca Productions,United States of America,English,tt0212338
Memento,2000-10-11,"Leonard Shelby is tracking down the man who raped and murdered his wife. The difficulty of locating his wife's killer, however, is compounded by the fact that he suffers from a rare, untreatable form of short-term memory loss. Although he can recall details of life before his accident, Leonard cannot remember what happened fifteen minutes ago, where he's going, or why.",8.182,14583,en,Mystery;Thriller,113,Some memories are best forgotten.,9000000,40000000,Newmarket Films;Summit Entertainment;Team Todd;I Remember Productions,United States of America,English,tt0209144
Bedazzled,2000-10-19,"Elliot Richards, a socially awkward IT worker, is given seven wishes to get the girl of his dreams when he meets a very seductive Satan. The catch: his soul. Some of his wishes include being a 7 foot basketball star, a wealthy, powerful man, and a sensitive caring guy. But, as could be expected, the Devil puts her own little twist on each of his fantasies.",6.061,1834,en,Fantasy;Comedy;Romance,93,Meet the Devil. She's giving Elliott seven wishes. But not a chance in Hell.,48000000,90383208,KirchMedia;Regency Enterprises,Germany;United States of America,English;Pусский;Español,tt0230030
Little Nicky,2000-11-10,"After the lord of darkness decides he will not cede his throne to any of his three sons, the two most powerful of them escape to Earth to create a kingdom for themselves. This action closes the portal filtering sinful souls to Hell and causes Satan to wither away. He must send his most weak but beloved son, Little Nicky, to Earth to return his brothers to Hell.",5.871,1763,en,Comedy;Fantasy,90,"If your father was the Devil and your mother was an angel, you'd be messed up too.",85000000,58292295,Avery Pix;New Line Cinema;Happy Madison Productions;RSC Media;Robert Simonds Productions,United States of America,English,tt0185431
How the Grinch Stole Christmas,2000-11-17,The Grinch decides to rob Whoville of Christmas - but a dash of kindness from little Cindy Lou Who and her family may be enough to melt his heart...,6.76,7255,en,Family;Comedy;Fantasy,104,He puts the mean in green.,123000000,345800000,Universal Pictures;Imagine Entertainment;Brian Grazer Productions,United States of America,English,tt0170016
The 6th Day,2000-11-17,"A world of the very near future in which cattle, fish, and even the family pet can be cloned. But cloning humans is illegal - that is until family man Adam Gibson comes home from work one day to find a clone has replaced him. Taken from his family and plunged into a sinister world he doesn't understand, Gibson must not only save himself from the assassins who must destroy him to protect their secret, but uncover who and what is behind the horrible things happening to him.",5.972,1960,en,Science Fiction;Action;Mystery;Drama,123,Are you who you think you are?,82000000,96085477,Phoenix Pictures;Jon Davison Productions;Columbia Pictures,United States of America;Canada,English,tt0216216
Unbreakable,2000-11-22,"An ordinary man makes an extraordinary discovery when a train accident leaves his fellow passengers dead — and him unscathed. The answer to this mystery could lie with the mysterious Elijah Price, a man who suffers from a disease that renders his bones as fragile as glass.",7.142,9071,en,Thriller;Drama;Mystery,106,Some things are only revealed by accident.,75000000,248100000,Barry Mendel Productions;Blinding Edge Pictures;Touchstone Pictures,United States of America,English,tt0217869
Quills,2000-11-22,"A nobleman with a literary flair, the Marquis de Sade lives in a madhouse where a beautiful laundry maid smuggles his erotic stories to a printer, defying orders from the asylum's resident priest. The titillating passages whip all of France into a sexual frenzy, until a fiercely conservative doctor tries to put an end to the fun.",7.137,627,en,Drama,124,Meet the Marquis de Sade. The pleasure is all his.,13500000,7060876,Charenton Productions;Fox Searchlight Pictures;Industry Entertainment;Walrus & Associates;Hollywood Partners,Germany;United Kingdom;United States of America,English,tt0180073
All the Pretty Horses,2000-12-11,"The year is 1949. A young Texan named John Grady finds himself without a home after his mother sells the ranch where he has spent his entire life. Lured south of the border by the romance of cowboy life and the promise of a fresh start, Cole and his pal embark on an adventure that will test their resilience, define their maturity, and change their lives forever.",5.747,220,en,Drama;Romance;Western,117,Some passions can never be tamed.,57000000,0,Miramax;Columbia Pictures,United States of America,English;Español,tt0149624
