Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
Ratatouille,2007-06-21,"Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream.",7.825,16703,en,Animation;Comedy;Family;Fantasy,111,He's dying to become a chef.,150000000,623726000,Pixar;Walt Disney Pictures,United States of America,English;Français,tt0382932
1408,2007-06-22,"A man who specializes in debunking paranormal occurrences checks into the fabled room 1408 in the Dolphin Hotel. Soon after settling in, he confronts genuine terror.",6.686,4317,en,Horror;Mystery,112,The Dolphin Hotel invites you to stay in any of its stunning rooms. Except one.,25000000,133000000,Dimension Films;di Bonaventura Pictures;The Weinstein Company;Metro-Goldwyn-Mayer,United States of America,English,tt0450385
Transformers,2007-06-27,Young teenager Sam Witwicky becomes involved in the ancient struggle between two extraterrestrial factions of transforming robots – the heroic Autobots and the evil Decepticons. Sam holds the clue to unimaginable power and the Decepticons will stop at nothing to retrieve it.,6.803,11015,en,Adventure;Science Fiction;Action,144,Their war. Our world.,150000000,709709780,DreamWorks Pictures;di Bonaventura Pictures;DeSanto/Murphy Productions;Paramount Pictures,United States of America,Español;English,tt0418279
Harry Potter and the Order of the Phoenix,2007-07-08,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",7.7,19114,en,Adventure;Fantasy,138,The rebellion begins.,150000000,938212738,Warner Bros. Pictures;Heyday Films,United Kingdom;United States of America,English,tt0373889
Robot Chicken: Star Wars,2007-07-17,"A series of 30 sketches, following the hilarious antics of various characters from a galaxy, far, far away.",7.223,242,en,Animation;Comedy;Science Fiction;Action;TV Movie,23,Spend Father's Day with who really raised you... Star Wars.,0,0,Lucasfilm Ltd.;Stoopid Monkey;Sony Pictures Digital;ShadowMachine,United States of America,Deutsch;English,tt1020990
Hairspray,2007-07-19,"Pleasantly plump teenager Tracy Turnblad auditions to be on Baltimore's most popular dance show - The Corny Collins Show - and lands a prime spot. Through her newfound fame, she becomes determined to help her friends and end the racial segregation that has been a staple of the show.",6.664,2430,en,Comedy;Romance;Drama,117,"When you follow your own beat, the world will follow you.",75000000,90450008,Offspring Entertainment;New Line Cinema;Zadan / Meron Productions;Ingenious Media,United Kingdom;United States of America,English,tt0427327
Ghost Adventures,2007-07-25,"In 2007, The Sci-Fi Channel premiered ""Ghost Adventures,"" a raw documentary in which 3 men go to Virginia City, NV and Goldfield, NV on a ghost hunting expedition. Virginia City is rife with macabre lore and reputed to be one of the most haunted cities in America. Ghost Adventures has won a Grand Jury Prize for Best Documentary that was given by the New York International Film &amp; Video Festival.",8.144,45,en,Documentary;Horror,87,,0,0,4 Reel Productions;MY Entertainment,United States of America,English,tt2637720
Queer as Old Folk,2007-07-26,Exploring the current lives of several gay men who came out at a time when homosexuality was still illegal in the UK.,1,1,en,,65,,0,0,,,,tt1078271
An American Crime,2007-07-27,"The true story of suburban housewife Gertrude Baniszewski, who kept a teenage girl locked in the basement of her Indiana home during the 1960s.",7.321,666,en,Crime;Drama;Horror,97,The true story of a child's punishment that became a woman's crime.,2000000,0,First Look International;Killer Films;Showtime Networks,United States of America,English,tt0802948
The Bourne Ultimatum,2007-08-03,"Bourne is brought out of hiding once again by reporter Simon Ross who is trying to unveil Operation Blackbriar, an upgrade to Project Treadstone, in a series of newspaper columns. Information from the reporter stirs a new set of memories, and Bourne must finally uncover his dark past while dodging The Company's best efforts to eradicate him.",7.43,7488,en,Action;Drama;Mystery;Thriller,115,Remember everything. Forgive nothing.,70000000,442824138,Universal Pictures;The Kennedy/Marshall Company;Ludlum Entertainment;Motion Picture BETA Produktionsgesellschaft;Bourne Again;KanZaman Services;Peninsula Films;Studio Babelsberg,France;Germany;Spain;United States of America,English;Français;العربية;Pусский;Español,tt0440963
Hot Rod,2007-08-03,"For Rod Kimble, performing stunts is a way of life, even though he is rather accident-prone. Poor Rod cannot even get any respect from his stepfather, Frank, who beats him up in weekly sparring matches. When Frank falls ill, Rod devises his most outrageous stunt yet to raise money for Frank's operation -- and then Rod will kick Frank's butt.",6.388,950,en,Comedy;Action,88,Smack destiny in the face.,0,14353654,Paramount Pictures;Broadway Video;Michaels-Goldwyn;The Lonely Island,United States of America,English,tt0787475
Naruto Shippuden the Movie,2007-08-04,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",7.432,873,ja,Animation;Action;Fantasy,94,,0,10000000,Pierrot,Japan,日本語,tt0988982
Naruto Shippuden the Movie,2007-08-04,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",7.432,873,ja,Animation;Action;Fantasy,94,,0,10000000,Pierrot,Japan,日本語,tt0988982
Stardust,2007-08-09,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.",7.275,3947,en,Adventure;Fantasy;Romance;Family,127,This summer a star falls. The chase begins.,70000000,137500000,Paramount Pictures;Marv;Vaughn Productions;di Bonaventura Pictures;Ingenious Media,Iceland;United Kingdom;United States of America,English,tt0486655
Wrong Turn 2: Dead End,2007-08-25,Retired military commander Colonel Dale Murphy hosts the simulated post-apocalyptic reality show where participants are challenged to survive a remote West Virginia wasteland. But the show turns into a nightmarish showdown when each realizes they are being hunted by an inbred family of cannibals determined to make them all dinner!,6.093,1339,en,Horror;Thriller,96,Evil Awaits.,4000000,0,20th Century Fox;Summit Entertainment;Constantin Film,Germany;United States of America,English,tt0804555
3:10 to Yuma,2007-09-06,"In Arizona in the late 1800s, infamous outlaw Ben Wade and his vicious gang of thieves and murderers have plagued the Southern Railroad. When Wade is captured, Civil War veteran Dan Evans, struggling to survive on his drought-plagued ranch, volunteers to deliver him alive to the ""3:10 to Yuma"", a train that will take the killer to trial.",7.206,3493,en,Western,122,Time waits for one man.,55000000,70000000,Lionsgate;Tree Line Films;Relativity Media;Yuma,United States of America,English,tt0381849
Elizabeth: The Golden Age,2007-09-09,"When Queen Elizabeth's reign is threatened by ruthless familial betrayal and Spain's invading army, she and her shrewd adviser must act to safeguard the lives of her people.",6.72,1189,en,Drama;History;Romance,114,Woman. Warrior. Queen.,55000000,74237563,Universal Pictures;StudioCanal;Working Title Films,France;United States of America;United Kingdom,svenska;English;Español,tt0414055
Eastern Promises,2007-09-14,A Russian teenager living in London dies during childbirth but leaves clues in her diary that could tie her child to a rape involving a violent Russian mob family.,7.363,3235,en,Thriller;Crime;Mystery,101,Every sin leaves a mark.,51500000,56106607,BBC Film;Serendipity Point Films;Kudos;Corus Entertainment;Scion Films;Shine Pictures;Astral Media;Téléfilm Canada;Focus Features;Eastern Promises Film Productions;Eastern Promises Films Limited,Canada;United Kingdom;United States of America,English;Pусский;Türkçe;Український;اردو,tt0765443
Paranormal Activity,2007-09-14,"After a young, middle-class couple moves into what seems like a typical suburban house, they become increasingly disturbed by a presence that may or may not be demonic but is certainly the most active in the middle of the night.",6.002,4907,en,Horror;Mystery,86,What Happens When You Sleep?,215000,193355800,Blumhouse Productions;Solana Films,United States of America,English,tt1179904
Gone Baby Gone,2007-09-18,"When 4 year old Amanda McCready disappears from her home and the police make little headway in solving the case, the girl's aunt, Beatrice McCready hires two private detectives, Patrick Kenzie and Angie Gennaro. The detectives freely admit that they have little experience with this type of case, but the family wants them for two reasons—they're not cops and they know the tough neighborhood in which they all live.",7.309,3676,en,Crime;Drama;Mystery,113,Everyone wants the truth... until they find it.,19000000,34600000,Miramax;The Ladd Company,United States of America,English,tt0452623
The Assassination of Jesse James by the Coward Robert Ford,2007-09-20,"Outlaw Jesse James is rumored to be the 'fastest gun in the West'. An eager recruit into James' notorious gang, Robert Ford eventually grows jealous of the famed outlaw and, when Robert and his brother sense an opportunity to kill James, their murderous action elevates their target to near mythical status.",7.041,2432,en,Drama;Western,159,Beyond the myth lies America's greatest betrayal,30000000,14711793,Plan B Entertainment;Virtual Studios;Scott Free Productions;Alberta Film Entertainment;Jesse Films Inc.;Warner Bros. Pictures,Canada;United Kingdom;United States of America,English,tt0443680
Into the Wild,2007-09-21,"After graduating from Emory University in 1992, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity, and hitchhikes to Alaska to live in the wilderness.",7.804,9374,en,Adventure;Drama,148,Into the heart. Into the soul.,15000000,56255142,River Road Entertainment;Paramount Vantage;Into the Wild;The Linson Company;Square One C.I.H.,United States of America,Dansk;English,tt0758758
Good Luck Chuck,2007-09-21,"Cursed since childhood, dentist Charlie Logan cannot find the right woman. Even worse, he learns that each of his ex-girlfriends finds true love with the man she meets after her relationship with him ends. Hearing of Charlie's reputation as a good-luck charm, women from all over line up for a quick tryst. But when Charlie meets the woman of his dreams, he must find a way to break the curse or risk losing her to the next man she meets.",5.912,1454,en,Comedy;Romance,101,He has to break his curse before she breaks his heart.,25000000,59768495,Milestone Entertainment;Lionsgate;Karz Entertainment;Alberta Film Development Program of the Alberta Government;Chuck Productions,Canada;United States of America,English,tt0452625
"Lust, Caution",2007-09-24,"During World War II, a secret agent must seduce then assassinate an official who works for the Japanese puppet government in Shanghai. Her mission becomes clouded when she finds herself falling in love with the man she is assigned to kill.",7.203,675,zh,Action;Drama;Romance;Thriller,158,"To kill the enemy, she would have to capture his heart... and break her own.",15000000,67100000,River Road Entertainment;Haishang Films;Focus Features;Sil-Metropole Organisation;Shanghai Film Group,China;United States of America;Hong Kong;Taiwan,广州话 / 廣州話;English;普通话;日本語,tt0808357
Before the Devil Knows You're Dead,2007-09-26,"When two brothers organize the robbery of their parents' jewelry store, the job goes horribly wrong, triggering a series of events that send them and their family hurtling towards a shattering climax.",7.107,1439,en,Crime;Drama;Thriller,117,No one was supposed to get hurt.,18000000,25005257,Michael Cerenzie Productions;Capitol Films;Linsefilm;Unity Productions;Funky Buddha Productions;Entertainment Film Distributors,United States of America;United Kingdom,English,tt0292963
30 Days of Night,2007-10-17,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",6.416,2680,en,Horror;Thriller,113,They're Coming!,30000000,75505973,HorrorFlix;Columbia Pictures;Ghost House Pictures;Dark Horse Entertainment;Mandate International,New Zealand;United States of America,English,tt0389722
American Gangster,2007-11-02,"Following the death of his employer and mentor, Bumpy Johnson, Frank Lucas establishes himself as the number one importer of heroin in the Harlem district of Manhattan. He does so by buying heroin directly from the source in South East Asia and he comes up with a unique way of importing the drugs into the United States. Partly based on a true story.",7.586,5268,en,Drama;Crime,157,There are two sides to the American dream.,100000000,266500000,Film Rites;Imagine Entertainment;Universal Pictures;Scott Free Productions;Relativity Media,United Kingdom;United States of America,English,tt0765429
Beowulf,2007-11-05,"A 6th-century Scandinavian warrior named Beowulf embarks on a mission to slay the man-like ogre, Grendel.",5.89,2748,en,Adventure;Action;Animation,115,Face your demons.,70000000,195735876,Shangri-La Entertainment;ImageMovers;Warner Bros. Pictures;Paramount Pictures,United States of America,English,tt0442933
P.S. I Love You,2007-11-15,A young widow discovers that her late husband has left her 10 messages intended to help ease her pain and start a new life.,7.199,3246,en,Drama;Romance,126,"His life ended. Now, a new one will begin.",30000000,156835339,Wendy Finerman Productions;Alcon Entertainment;Warner Bros. Pictures;Grosvenor Park Films LLP;Summit Entertainment,United States of America,English,tt0431308
Enchanted,2007-11-20,"The beautiful princess Giselle is banished by an evil queen from her magical, musical animated land and finds herself in the gritty reality of the streets of modern-day Manhattan. Shocked by this strange new environment that doesn't operate on a ""happily ever after"" basis, Giselle is now adrift in a chaotic world badly in need of enchantment. But when Giselle begins to fall in love with a charmingly flawed divorce lawyer who has come to her aid - even though she is already promised to a perfect fairy tale prince back home - she has to wonder: Can a storybook view of romance survive in the real world?",6.818,5306,en,Comedy;Family;Fantasy;Romance,107,This fairytale princess is about to meet a real Prince Charming.,85000000,340487652,Walt Disney Pictures;Josephson Entertainment;Andalasia Productions;Right Coast,United States of America,English,tt0461770
The Mist,2007-11-21,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",6.927,5052,en,Horror;Science Fiction;Thriller,126,"Belief divides them, mystery surrounds them, but fear changes everything.",18000000,57470220,Darkwoods Productions,United States of America,English,tt0884328
Hitman,2007-11-21,"A genetically engineered assassin with deadly aim, known only as ""Agent 47"" eliminates strategic targets for a top-secret organization. But when he's double-crossed, the hunter becomes the prey as 47 finds himself in a life-or-death game of international intrigue.",6.124,3215,en,Action;Thriller;Drama,94,Most believe his very existence is a sin. But others know he is a necessary evil.,24000000,99965753,EuropaCorp;Charles Gordon Productions;Adrian Askarieh Productions,France;United States of America,English;Pусский;Srpski,tt0465494
Awake,2007-11-28,"While undergoing heart surgery, a man experiences a phenomenon called ‘anesthetic awareness’, which leaves him awake but paralyzed throughout the operation. As various obstacles present themselves, his wife must make life-altering decisions while wrestling with her own personal drama.",6.524,1338,en,Thriller;Crime;Mystery,84,"Every year, one in 700 people wake up during surgery.",86000000,14373825,The Weinstein Company;Open City Films;GreeneStreet Films,United States of America,日本語;English,tt0211933
Juno,2007-12-05,"Faced with an unplanned pregnancy, sixteen year old high-schooler, Juno MacGuff, makes an unusual decision regarding her unborn child.",7.1,7043,en,Comedy;Drama;Romance,96,A comedy about growing up… and the bumps along the way.,7500000,232372681,Mandate Pictures;Mr. Mudd Production;Fox Searchlight Pictures,United States of America,English,tt0467406
Trick 'r Treat,2007-12-09,"Four interwoven stories that occur on Halloween: an everyday high school principal has a secret life as a serial killer; a college virgin might have just met the one guy for her; a group of teenagers pull a mean prank, and a bitter old recluse receives an uninvited guest.",6.981,1787,en,Horror;Comedy,82,"Poison, drowning, claw, or knife. So many ways to take a life.",12000000,27909,Legendary Pictures;Bad Hat Harry Productions;Little Sam Films;Warner Bros. Pictures,United States of America,English,tt0862856
I Am Legend,2007-12-12,"Robert Neville is a scientist who was unable to stop the spread of the terrible virus that was incurable and man-made. Immune, Neville is now the last human survivor in what is left of New York City and perhaps the world. For three years, Neville has faithfully sent out daily radio messages, desperate to find any other survivors who might be out there. But he is not alone.",7.207,15445,en,Drama;Science Fiction;Thriller,101,The last man on Earth is not alone,150000000,585410052,Warner Bros. Pictures;Village Roadshow Pictures;Weed Road Pictures;Overbrook Entertainment;Heyday Films;Original Film,United States of America,English,tt0480249
Alvin and the Chipmunks,2007-12-13,"A struggling songwriter named Dave Seville finds success when he comes across a trio of singing chipmunks: mischievous leader Alvin, brainy Simon, and chubby, impressionable Theodore.",5.809,4332,en,Comedy;Family;Fantasy;Animation,92,The Original Entourage,60000000,361366633,Fox 2000 Pictures;Regency Enterprises;Bagdasarian Productions;Dune Entertainment;20th Century Fox,United States of America,English;Español;Français;日本語,tt0952640
Virgin Territory,2007-12-17,"The film is set in Tuscany during the Black Death. As in the Decameron, ten young Florentines take refuge from the plague. But instead of telling stories, they have lusty adventures, bawdy exchanges, romance and swordplay. There are randy nuns, Saracen pirates, and a sexy cow.",4.755,306,en,Adventure;Action;Comedy;Romance,93,Anything Can Happen When You're In ... Virgin Territory,38000000,5410749,Zephyr Films;Carthago Films;Dino De Laurentiis Company;DDL Cinematografica;Red Lion;Ingenious Media,Luxembourg;Italy;France;United Kingdom,English;Pусский,tt0437954
Charlie Wilson's War,2007-12-19,"The true story of Texas congressman Charlie Wilson's covert dealings in Afghanistan, where his efforts to assist rebels in their war with the Soviets had some unforeseen and long-reaching effects.",6.539,1434,en,Comedy;Drama;History,102,"When the world wasn't looking, he changed it forever.",75000000,119483446,Universal Pictures;Relativity Media;Participant;Playtone;MP Munich Pape Filmproductions,Germany;United States of America,العربية;English;Pусский;اردو;עִבְרִית,tt0472062
Sweeney Todd: The Demon Barber of Fleet Street,2007-12-20,"The infamous story of Benjamin Barker, a.k.a Sweeney Todd, who sets up a barber shop down in London which is the basis for a sinister partnership with his fellow tenant, Mrs. Lovett. Based on the hit Broadway musical.",7.184,5740,en,Drama;Horror,116,Never Forget. Never Forgive.,50000000,152000000,DreamWorks Pictures;Warner Bros. Pictures;Parkes/MacDonald Productions;The Zanuck Company,United Kingdom;United States of America,English,tt0408236
Aliens vs Predator: Requiem,2007-12-25,"After a horrifying PredAlien crash-lands near a small Colorado town, killing everyone it encounters and producing countless Alien offspring, a lone Predator arrives to ""clean up"" the infestation.",5.2,2781,en,Fantasy;Action;Science Fiction;Thriller;Horror,94,On Earth everyone can hear you scream.,40000000,130290885,Dune Entertainment;Davis Entertainment;20th Century Fox;Brandywine Productions,United States of America,English,tt0758730
The Bucket List,2007-12-25,"Corporate billionaire Edward Cole and working class mechanic Carter Chambers are worlds apart. At a crossroads in their lives, they share a hospital room and discover they have two things in common: a desire to spend the time they have left doing everything they ever wanted to do and an unrealized need to come to terms with who they are. Together they embark on the road trip of a lifetime, becoming friends along the way and learning to live life to the fullest, with insight and humor.",7.182,3684,en,Drama;Comedy,97,Find the joy.,45000000,175400000,Two Ton Films;Zadan / Meron Productions;Reiner / Greisman Productions,United States of America,English,tt0825232
There Will Be Blood,2007-12-26,"Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview's motives and intentions, starting a slow-burning feud that threatens both their lives.",8.083,6441,en,Drama,158,There will be greed. There will be vengeance.,25000000,77208711,Paramount Vantage;Miramax;Ghoulardi Film Company;JoAnne Sellar Productions,United States of America,English,tt0469494
Wire in the Blood: Prayer of the Bone,2008-01-07,"British crime-fighting psychologist Dr. Tony Hill crosses the Atlantic to investigate the case of an American vet who brutally killed his own family. Can he prove the soldier's defence of post-traumatic stress disorder is bogus? Or will the Texas heat, hostile locals and even a violent plot against him throw Dr. Hill off the trail? This feature-length film from the ""Wire in the Blood"" TV series also stars Brad Hawkins.",8.2,6,en,Crime;Drama;Mystery;TV Movie,89,,0,0,,United Kingdom,English,tt1086789
27 Dresses,2008-01-10,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,6.405,3038,en,Comedy;Romance,111,She's about to find the perfect fit.,30000000,160300000,Fox 2000 Pictures;Spyglass Entertainment;Dune Entertainment III,United States of America,English,tt0988595
Cloverfield,2008-01-15,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",6.689,6905,en,Action;Thriller;Science Fiction,85,Some thing has found us.,25000000,170764026,Bad Robot,United States of America,Pусский;English,tt1060277
Teeth,2008-01-18,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",5.342,707,en,Comedy;Horror,94,Every rose has its thorns.,2000000,2340110,Teeth;Pierpoline Films,United States of America,English,tt0780622
Rambo,2008-01-24,"In Thailand, ex-Green Beret John James Rambo joins a group of mercenaries to venture into war-torn neighboring Myanmar to rescue a group of Christian aid workers who have been kidnapped by a ruthless local infantry unit.",6.679,3795,en,Action;Thriller;War,92,"Live for nothing, or die for something.",50000000,113200000,Nu Image;Equity Pictures Medienfonds GmbH & Co. KG IV;Millennium Media;Lionsgate;The Weinstein Company,Germany;United States of America,English;;ภาษาไทย,tt0462499
In Bruges,2008-02-08,"Ray and Ken, two hit men, are in Bruges, Belgium, waiting for their next mission. While they are there they have time to think and discuss their previous assignment. When the mission is revealed to Ken, it is not what he expected.",7.5,4963,en,Comedy;Drama;Crime,108,Shoot first. Sightsee later.,15000000,34533783,Twins Financing;Blueprint Pictures;Focus Features;Scion Films;Film4 Productions,United Kingdom;United States of America,English,tt0780536
"Definitely, Maybe",2008-02-08,"When Will decides to tell his daughter the story of how he met her mother, he discovers that a second look at the past might also give him a second chance at the future.",6.935,2344,en,Comedy;Romance,112,Three relationships. Three disasters. One last chance.,0,55447968,Ringerike Erste Filmproduktion;Universal Pictures;StudioCanal;Working Title Films,France;Germany;United Kingdom,English,tt0832266
Jumper,2008-02-13,"David Rice is a man who knows no boundaries, a Jumper, born with the uncanny ability to teleport instantly to anywhere on Earth. When he discovers others like himself, David is thrust into a dangerous and bloodthirsty war while being hunted by a sinister and determined group of zealots who have sworn to destroy all Jumpers. Now, David’s extraordinary gift may be his only hope for survival!",6.153,5641,en,Action;Adventure;Science Fiction,88,Anywhere is possible.,85000000,222231186,Dune Entertainment;Hypnotic;New Regency Pictures,Canada;United States of America,English,tt0489099
The Spiderwick Chronicles,2008-02-14,"Upon moving into the run-down Spiderwick Estate with their mother, twin brothers Jared and Simon Grace, along with their sister Mallory, find themselves pulled into an alternate world full of faeries and other creatures.",6.634,2551,en,Family;Adventure;Fantasy;Drama,95,Their World Is Closer Than You Think,90000000,164200000,Paramount Pictures;The Kennedy/Marshall Company,United States of America,English,tt0416236
Step Up 2: The Streets,2008-02-14,"When rebellious street dancer Andie lands at the elite Maryland School of the Arts, she finds herself fighting to fit in while also trying to hold onto her old life. When she joins forces with the schools hottest dancer, Chase, to form a crew of classmate outcasts to compete in Baltimore s underground dance battle The Streets.",6.7,2247,en,Music;Drama;Romance,98,It's not where you're from. It's where you're at.,23000000,150816700,Touchstone Pictures;Summit Entertainment;Offspring Entertainment,United States of America,Pусский;English,tt1023481
Taken,2008-02-18,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",7.392,10968,en,Action;Thriller,94,They took his daughter.  He'll take their lives.,25000000,226830568,EuropaCorp;M6 Films;Grive Productions;20th Century Fox;Seaside Film Taken;Canal+;M6;TPS Star;All Pictures Media,France;United States of America,English;Français;العربية;shqip,tt0936501
The Bank Job,2008-02-28,"Terry is a small-time car dealer trying to leave his shady past behind and start a family. Martine is a beautiful model from Terry's old neighbourhood who knows that Terry is no angel. When Martine proposes a foolproof plan to rob a bank, Terry recognises the danger but realises this may be the opportunity of a lifetime. As the resourceful band of thieves burrows its way into a safe-deposit vault at a Lloyds Bank, they quickly realise that, besides millions in riches, the boxes also contain secrets that implicate everyone from London's most notorious underworld gangsters to powerful government figures, and even the Royal Family. Although the heist makes headlines throughout Britain for several days, a government gag order eventually brings all reporting of the case to an immediate halt.",6.834,2236,en,Thriller;Crime;Drama,112,The true story of a heist gone wrong... in all the right ways.,20000000,64828421,Omnilab Media;Mosaic Media Group;Relativity Media;Skyline (Baker St);Atlas Entertainment;Lionsgate;Arclight Films,Australia;United Kingdom;United States of America,English,tt0200465
The Other Boleyn Girl,2008-02-28,"A sumptuous and sensual tale of intrigue, romance and betrayal set against the backdrop of a defining moment in European history: two beautiful sisters, Anne and Mary Boleyn, driven by their family's blind ambition, compete for the love of the handsome and passionate King Henry VIII.",6.681,1995,en,Drama;Romance;History,115,Two sisters divided for the love of a king.,35000000,78269970,Scott Rudin Productions;Columbia Pictures;Focus Features;BBC Film;Relativity Media;Ruby Films,United Kingdom;United States of America,English,tt0467200
Never Back Down,2008-03-04,"Jake, full of anger after his father's death, is just starting to find a place for himself at his new Orlando high school - until Ryan, head of an underground MMA fight club, picks Jake out as a prime opponent. After being trounced by Ryan in front of the entire school, Jake begins training under the firm, moral guidance of a MMA master, where he learns how to fight... and how to avoid a fight. But it becomes obvious that a rematch will be inevitable if Jake wants to stop Ryan and his bullying, once and for all.",6.752,2250,en,Drama;Action,115,Win or lose... Everyone has their fight.,20000000,41627431,Summit Entertainment;Mandalay Pictures;Baumgarten Management and Productions (BMP);Mandalay Independent Pictures,United States of America,English,tt1023111
Doomsday,2008-03-14,"The lethal Reaper virus spreads throughout Britain—infecting millions and killing hundreds of thousands. Authorities brutally and successfully quarantine the country but, three decades later, the virus resurfaces in a major city. An elite group of specialists is urgently dispatched into the still-quarantined country to retrieve a cure by any means necessary. Shut off from the rest of the world, the unit must battle through a landscape that has become a waking nightmare.",6,1248,en,Action;Thriller;Science Fiction,108,Mankind has an expiration date.,30000000,22472631,Rogue Pictures;Intrepid Pictures;Crystal Sky Pictures;Scion Films;Moonlighting Films;Internationale Filmproduktion Blackbird Dritte,Germany;United Kingdom;United States of America;South Africa,English,tt0483607
Superhero Movie,2008-03-28,"Rick Riker is a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",5.248,1766,en,Comedy;Action;Science Fiction,82,The greatest Superhero movie of all time! (not counting all the others),35000000,71571300,Dimension Films;Craig Mazin Company;The Weinstein Company;Metro-Goldwyn-Mayer,United States of America,English,tt0426592
The Ruins,2008-04-02,"Americans Amy, Stacy, Jeff and Eric look for fun during a sunny holiday in Mexico, but they get much more than that after visiting an archaeological dig in the jungle.",5.951,1228,en,Horror,91,Terror has evolved.,8000000,22818256,Spyglass Entertainment;Pacific Film and Television Commission;Internationale Filmproduktion Prometheus;Red Hour;DreamWorks Pictures;Paramount Pictures,United States of America;Germany;Australia,Deutsch;ελληνικά;English;Español,tt0963794
Street Kings,2008-04-10,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.",6.62,1446,en,Action;Crime;Drama;Thriller,109,Their city. Their rules. No prisoners.,20000000,66500000,Fox Searchlight Pictures;Regency Enterprises;Dune Entertainment III;Yari Film Group (YFG);EFO Films,United States of America,English;Türkçe,tt0421073
Forgetting Sarah Marshall,2008-04-17,"When Sarah Marshall dumps aspiring musician Peter Bretter for rock star Aldous Snow, Peter's world comes crashing down. His best friend suggests that Peter should get away from everything and to fly off to Hawaii to escape all his problems. After arriving in Hawaii and meeting the beautiful Rachel Jansen, Peter is shocked to see not only Aldous Snow in Hawaii, but also Sarah Marshall.",6.497,3288,en,Comedy;Romance;Drama,111,"You lose some, you get some.",30000000,105173115,Universal Pictures;Apatow Productions,United States of America,English;日本語;Deutsch,tt0800039
Iron Man,2008-04-30,"After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",7.6,25988,en,Action;Science Fiction;Adventure,126,Heroes aren't born. They're built.,140000000,585174222,Marvel Studios;Marvel Entertainment;Fairview Entertainment,United States of America,English;فارسی;اردو;العربية,tt0371746
